X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,Source,GlobalID,IsCpxChild,CpxName,CpxID
-117.2263,33.9423540000001,236862,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/01 10:54:14+00,,,,,,,,,OSCC,,,,,,PERRIS BL / ELDER AV,,WF,FI,33.942354,-117.2263,,,{5C37E457-1474-4B74-ACF8-36C91495573A},,0,0,0,0,0,,000070,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000070,No Decision,cfcad,cfcad,0,,,2022/01/01 11:13:42+00,2022/01/01 11:13:42+00,IRWIN,{5E03F67E-7D71-4534-AE65-0507FC23C660},,,
-120.634659,35.1642810000001,236877,,DEFAULT,,,,,0.1,CASLCC,,,,,,,,,Undetermined,,,,,2022/01/01 15:21:51+00,,,,,,,,,OSCC,,,,,,PRICE,,WF,FI,35.164281,-120.634659,,,{DEA6CF90-F556-437A-8F57-52F9D06EF8BA},,0,,,,,,000021,,,,San Luis Obispo,CASLCC,06079,,,,Private,Private,,,,,,,SC07,CDF,CASLU,US-CA,,,,,,2022-CASLU-000021,No Decision,cfcad,cfcad,0,,,2022/01/01 15:21:58+00,2022/01/01 15:23:37+00,IRWIN,{391610DE-D34B-49A4-A57C-8DAFD6D8BBC7},,,
-92.9519,31.0212100000001,236905,,CERTIFIED,,2022/01/01 19:01:00+00,2022/01/10 14:45:00+00,196,1,LALIC,,,,2022/01/19 22:56:14+00,,,,,Human,Other Human Cause,,PET0,,2022/01/01 15:46:59+00,,2022/01/10 14:47:00+00,,,,,P8,,SACC,,,,,,Pelt,,WF,FI,31.02121,-92.9519,0.1,2022/01/01 16:30:00+00,{D0C31447-C7F0-4F74-B09D-6A953BA95F25},,0,1,0,0,1,,000001,,,,Vernon,LALIC,22115,FS,LAKIF,,USFS,Federal,,,,,,,SA19,FS,LAKIF,US-LA,Grass-Shrub,GS2,,,,2022-LAKIF-000001,No Decision,wildcad,INFORM_Inspector,0,,,2022/01/01 16:50:50+00,2022/01/19 22:56:16+00,IRWIN,{C904AA58-16C8-4DB7-8911-D83A7F57C1AF},0,,
-92.9164,30.98341,236933,,FIREREPORTING,,2022/01/01 21:17:00+00,2022/01/10 14:45:00+00,42,1,LALIC,,,,,,,,,Undetermined,,,PET1,,2022/01/01 17:45:59+00,,2022/01/10 14:47:00+00,,,,,P8,,SACC,,,,,,Day,,WF,FI,30.98341,-92.9164,0.1,,{51E2E285-18C9-4AD5-AC55-3B852E439751},,0,1,0,0,1,,000002,,,,Vernon,LALIC,22115,FS,LAKIF,,USFS,Federal,,,,,,,SA19,FS,LAKIF,US-LA,,,,,,2022-LAKIF-000002,No Decision,wildcad,wildcad,0,,,2022/01/01 18:01:19+00,2022/01/10 16:10:56+00,IRWIN,{0448B781-F6EA-4701-946D-EADCEE7AFFA2},0,,
-117.34086,33.6908530000001,236947,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/01 20:07:13+00,,,,,,,,,OSCC,,,,,,COLLIER AV  LELS,,WF,FI,33.690853,-117.34086,,,{2526FA79-EA21-4EFB-A12E-82BF7BD248A1},,0,0,0,0,0,,000279,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000279,No Decision,cfcad,cfcad,0,,,2022/01/01 21:00:26+00,2022/01/01 21:00:26+00,IRWIN,{F3580DF9-15FD-4494-8E78-F11B36AAEAA7},,,
-116.932131,34.8638980000001,236958,,DEFAULT,,,,,0.1,CABDCC,,,,,,,,,Undetermined,,,,,2022/01/01 22:32:17+00,,,,,,,,,OSCC,,,,,,I 40  W/ NEBO ST,,WF,FI,34.863898,-116.932131,,,{EFF61165-35FB-4F73-BA9C-9654C81D9239},,0,0,0,0,0,,000032,,,,San Bernardino,CASBCC,06071,,,,Private,Private,,,,,,,SC14,CDF,CABDU,US-CA,,,,,,2022-CABDU-000032,No Decision,cfcad,cfcad,0,,,2022/01/01 22:44:37+00,2022/01/01 22:44:37+00,IRWIN,{DD881A6C-7D34-4188-BBFE-3C8A3394A472},,,
-94.38963333,32.1431333300001,236961,,CERTIFIED,,2022/01/01 21:51:00+00,2022/01/04 20:59:37+00,10,10,TXTIC,,,,2022/02/14 21:17:24+00,Minimal,,,,Human,Debris/Open Burning,,,,2022/01/01 20:11:00+00,Type 5 Incident,2022/01/04 21:00:03+00,,,,,,,SACC,,,,,,Panola 1411,,WF,FI,32.14313333,-94.38963333,,,{3AE50C1E-53B7-43CA-B58F-CAE3EF637A62},,0,,,,,0,220023,100,,,Panola,TXTIC,48365,SFS,TXTXS,,Private,Private,,,,,,,SA07,SFS,TXTXS,US-TX,,,Timber (Grass and Understory),,,2022-TXTXS-220023,No Decision,wires,INFORM_Inspector,0,,,2022/01/01 23:14:29+00,2022/02/14 21:17:26+00,IRWIN,{1C571270-90CC-449D-9171-308348BFA7E6},0,,
-94.4414333299999,32.0241,236962,,CERTIFIED,,2022/01/01 23:48:59+00,2022/01/04 20:59:47+00,1,1,TXTIC,,,,2022/02/14 21:19:30+00,Minimal,,,,Human,Equipment,Motor Vehicle,,,2022/01/01 22:51:34+00,Type 5 Incident,2022/01/04 21:00:20+00,,,,,,,SACC,,,,,,Panola 1651,,WF,FI,32.0241,-94.44143333,,,{B429F02F-C229-49FF-AF3D-3ED5D1BAE814},,0,,,,,0,220024,100,,,Panola,TXTIC,48365,SFS,TXTXS,,Private,Private,,,,,,,SA07,SFS,TXTXS,US-TX,,,,,,2022-TXTXS-220024,No Decision,wires,INFORM_Inspector,0,,,2022/01/01 23:56:36+00,2022/02/14 21:19:31+00,IRWIN,{1B54CBE7-84E3-4132-B32C-5274C5150AFA},0,,
-116.078401,33.569691,236966,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 02:02:05+00,,,,,,,,,OSCC,,,,,,66,,WF,FI,33.569691,-116.078401,,,{32F58146-432E-493F-BDAE-658D05E0EBC6},,0,0,0,0,0,,000464,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CDF,CARRU,US-CA,,,,,,2022-CARRU-000464,No Decision,cfcad,cfcad,0,,,2022/01/02 02:16:24+00,2022/01/02 02:24:59+00,IRWIN,{6A70E1F6-17F7-496B-BFEA-2B980FA4B671},,,
-116.954661,33.783914,236967,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 02:09:51+00,,,,,,,,,OSCC,,,,,,E MAIN ST /S ALESSANDRO AV,,WF,FI,33.783914,-116.954661,,,{6C3FCF74-24B0-406E-AA4E-91013F4A2206},,0,0,0,0,0,,000468,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000468,No Decision,cfcad,cfcad,0,,,2022/01/02 02:18:10+00,2022/01/02 02:18:10+00,IRWIN,{CCDA8E49-69DC-4971-8BE8-6D537EE1044E},,,
-116.978023,33.8990020000001,236971,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 03:33:54+00,,,,,,,,,OSCC,,,,,,POWERLINE,,WF,FI,33.899002,-116.978023,,,{6AD2F774-10B2-42D6-A932-C88602AD6D71},,0,,,,,,000504,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000504,No Decision,cfcad,cfcad,0,,,2022/01/02 03:34:01+00,2022/01/02 04:26:06+00,IRWIN,{17BF5DA6-0E46-4BA3-8F7E-593937F7CDD1},,,
-117.082719,33.481482,236972,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 03:04:21+00,,,,,,,,,OSCC,,,,,,TULLEY RANCH RD  TEM,,WF,FI,33.481482,-117.082719,,,{0CE32872-0DA4-4366-88EC-A3A7FB55E710},,0,0,0,0,0,,000488,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000488,No Decision,cfcad,cfcad,0,,,2022/01/02 03:37:47+00,2022/01/02 03:37:47+00,IRWIN,{9291CE69-60A7-4AA7-A8E9-749B55CC0924},,,
-116.687782,33.5652880000001,236975,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 04:17:27+00,,,,,,,,,OSCC,,,,,,LICON,,WF,FI,33.565288,-116.687782,,,{0FBE0041-6AEA-468B-BB55-892CBE581616},,0,,,,,,000518,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC11,CDF,CARRU,US-CA,,,,,,2022-CARRU-000518,No Decision,cfcad,cfcad,0,,,2022/01/02 04:17:35+00,2022/01/02 07:46:43+00,IRWIN,{4E1C3D30-0DC4-4168-AF56-CE71F12F88A6},,,
-117.8625,34.61654,236983,,DEFAULT,,,,,0.01,CALACC,,,,,,,,,Undetermined,,,,,2022/01/02 08:08:23+00,,,,,,,,,OSCC,,,,,,LAC-001348,,WF,FI,34.61654,-117.8625,,,{48297444-E7C1-413E-8263-584EBEA049B7},,0,,,,,,001348,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC15,C&L,CALAC,US-CA,,,,,,2022-CALAC-001348,No Decision,lacocad,lacocad,0,,,2022/01/02 08:20:49+00,2022/01/02 08:20:49+00,IRWIN,{25D37F5D-F1B3-403B-BDA1-CB94C4F88B7F},,,
-117.241675,33.7086770000001,236984,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 08:03:54+00,,,,,,,,,OSCC,,,,,,ELSINORE LN  MENI,,WF,FI,33.708677,-117.241675,,,{2018A283-778E-437F-B2D7-A1614B2A8915},,0,0,0,0,0,,000616,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000616,No Decision,cfcad,cfcad,0,,,2022/01/02 08:23:30+00,2022/01/02 08:23:30+00,IRWIN,{8E9BE1DD-8585-4FB6-B0CE-8F7BD0A499D2},,,
-86.7458329999999,37.9416670000001,236988,,DEFAULT,,,,1,1,INIIC,,,,,,,,,Undetermined,,,,,2022/01/02 12:55:02+00,,,,,,,,,EACC,,,,,,2022 HOF - Prescribed Burns,,RX,FI,37.941667,-86.745833,,,{8CD79D82-70D8-4E5B-B6F3-9C8BB56227D4},,0,0,0,0,0,,220005,,,,Perry,INIIC,18123,,,,Private,Private,,,,,,,EA14,FS,INHOF,US-IN,,,,,,2022-INHOF-220005,No Decision,wildcad,wildcad,0,,,2022/01/02 12:56:51+00,2022/01/02 12:56:51+00,IRWIN,{0F76C69F-0EEE-469E-AFA5-E187F684C6C8},,,
-116.164196,33.6640100000001,236990,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 13:14:51+00,,,,,,,,,OSCC,,,,,,AVE 53   COAC,,WF,FI,33.66401,-116.164196,,,{D33A6EC1-19F9-4C4C-ABF0-EE2E0B5962F1},,0,0,0,0,0,,000688,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CDF,CARRU,US-CA,,,,,,2022-CARRU-000688,No Decision,cfcad,cfcad,0,,,2022/01/02 13:29:58+00,2022/01/02 14:31:37+00,IRWIN,{A4AEE321-A5D4-481B-881F-E1F243EB1D49},,,
-117.05705,33.993204,236991,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 12:55:56+00,,,,,,,,,OSCC,,,,,,SANDALWOOD DR  CALI,,WF,FI,33.993204,-117.05705,,,{F5C92DB3-9DEF-4A6A-B43A-E7343B2020EC},,0,0,0,0,0,,000685,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000685,No Decision,cfcad,cfcad,0,,,2022/01/02 13:33:56+00,2022/01/02 13:33:56+00,IRWIN,{AE92F2C7-A06C-4514-9202-38D540C8551D},,,
-117.375323,33.689966,236992,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 14:06:16+00,,,,,,,,,OSCC,,,,,,CLEMENT ST /W LAKESHORE DR,,WF,FI,33.689966,-117.375323,,,{06078EAB-7CFC-4874-B403-EBCC0A0E959F},,0,0,0,0,0,,000702,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000702,No Decision,cfcad,cfcad,0,,,2022/01/02 14:25:21+00,2022/01/02 14:25:21+00,IRWIN,{129C9C5E-5FBA-421D-B6EA-D797B5263207},,,
-116.252437,33.7583750000001,236995,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 16:24:11+00,,,,,,,,,OSCC,,,,,,40,,WF,FI,33.758375,-116.252437,,,{3CDCB229-EA8B-4D51-B0B7-90E3085FC982},,0,0,0,0,0,,000736,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CDF,CARRU,US-CA,,,,,,2022-CARRU-000736,No Decision,cfcad,cfcad,0,,,2022/01/02 16:40:22+00,2022/01/02 16:49:10+00,IRWIN,{57602FE4-40FB-4CC9-BAFD-7E811E58A4FD},,,
-116.402088,33.817437,237003,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 16:46:33+00,,,,,,,,,OSCC,,,,,,FLYING J THOU,,WF,FI,33.817437,-116.402088,,,{E8999D28-6AE6-41DD-A19D-BFA96BF4192F},,0,0,0,0,0,,000748,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CDF,CARRU,US-CA,,,,,,2022-CARRU-000748,No Decision,cfcad,cfcad,0,,,2022/01/02 17:05:18+00,2022/01/02 17:05:18+00,IRWIN,{C6B408EB-ABE0-4E2A-9EA5-A7F160C9DEF7},,,
